Name;ET;DT;MSE;PSNR;QI;SSIM;AEC;BPB;ABCPB;DM
BF_type=1_color=RGB;328;13;0.015939524083870178;66.10605010610489;0.9999973475989257;0.9994508910538549;0.0038443408579060387;1.8555858310626703;0.005443530787897833;0.9370786516853933
BF_type=1_color=RGB;334;13;6823.31233785506;9.790851092564381;0.7238434645537819;0.22853339109993195;0.9832259641404354;66.48087829511597;3.8740585554915414;0.42471910112359545
chain_LSB_k=0_end_msg=$t3g0;12;6;0.006522460238481817;69.98668920586732;0.9999989070810595;0.9998710113445186;0.006522460238481817;1.0;0.006522460238481817;0
chain_LSB_k=0_end_msg=$t3g0;13;6;6823.314478255556;9.790849730228999;0.7238517997653346;0.22894732989064287;0.9829710714223363;66.49597539056117;3.8731751601808693;0
LSB_EOM_k=1_end_msg=$t3g0;11;10;0.006173292131496709;70.22563531803752;0.999998965642493;0.9998536179463067;0.006173292131496709;1.0;0.006173292131496709;0
LSB_EOM_k=1_end_msg=$t3g0;18;14;6823.293123134133;9.790863322488214;0.7238538350357588;0.22892005217981423;0.9832329475025751;66.47855593001246;3.87362209535781;0
LSB_PF_password=12345_color=B_end_msg=$t3g0;587;588;0.008788561252815168;68.69162576932445;0.9999985273349288;0.9999831784845189;0.008788561252815168;1.0;0.008788561252815168;0
LSB_PF_password=12345_color=B_end_msg=$t3g0;704;657;6823.311835052987;9.790851412591024;0.7238584402489666;0.22905835129309676;0.9817245412803994;66.57968566052902;3.8716911957261826;0
LSB_SINE_round_accuracy=2_sine_phase=1.0_end_msg=$t3g0;69;75;0.006456118298154646;70.03108881321634;0.9999989181787743;0.999977279890547;0.006267567520382688;1.0100278551532034;0.006267567520382688;0.9685393258426966
LSB_SINE_round_accuracy=2_sine_phase=1.0_end_msg=$t3g0;66;81;6823.315312767332;9.79084919907389;0.7238578036671264;0.22904338392879003;0.9817629497721678;66.57690310557238;3.871858796417535;0.9685393258426966
LSB_SOM_k=1;10;7;0.006152342045077603;70.24039888404778;0.9999989691571726;0.9998522140260071;0.006152342045077603;1.0;0.006152342045077603;0.9280898876404494
LSB_SOM_k=1;9;6;6823.305309101067;9.790855566272299;0.7238528964479977;0.22891727692461256;0.9832329475025751;66.4786482618531;3.873531311649994;0.9280898876404494
n_RMBR_n=4_color=RGB_end_msg=$t3g0;9;4;0.14274690549765184;56.58513658590031;0.9999761051628874;0.9973610779698888;0.0028631784772778853;6.185365853658537;0.005845074110930708;0.9595505617977528
n_RMBR_n=4_color=RGB_end_msg=$t3g0;9;3;6823.505005324813;9.790728464090854;0.723747999483733;0.22642098315608578;0.9845493112659089;66.40644040146115;3.8776375285881386;0.9595505617977528
PVD_8D_type=1_color=RGB_end_msg=$t3g0;35;23;6.901632360900155;39.74128539480225;0.998840715581826;0.9986810919020981;0.0035196145184098883;27.383928571428573;0.009724331779535257;0
PVD_8D_type=1_color=RGB_end_msg=$t3g0;47;23;6830.315951744968;9.786395674461552;0.7226899707609661;0.22780542779242713;0.9829431379737775;66.58767006500658;3.8760488137013565;0
PVDMF_type=1_end_msg=RGB_color=;23;15;0.06269662529024599;60.158361957511914;0.999989725931289;0.9981906569713337;0.004734719530718064;3.017699115044248;0.008666352415370381;0
PVDMF_type=1_end_msg=RGB_color=;21;13;6823.557750659054;9.790694893485934;0.7238007533532156;0.2273128898074195;0.9845178861362803;66.4000269540823;3.8761430890902426;0
QVD_8D_type=3_end_msg=$t3g0_color=RGB_k=4;36;15;0.5699575760750013;50.572378300414;0.9999046741275126;0.9988010098916321;0.0027898531748110126;9.240300375469337;0.006452626617084795;0
QVD_8D_type=3_end_msg=$t3g0_color=RGB_k=4;31;18;6822.955578833429;9.791078170730287;0.7237448328457263;0.2281424757299642;0.9825939698667924;66.53048221456238;3.873971263464795;0
